id,match_date,kick_off,location,name,description,created_at,updated_at
1,2011-09-09,20.3,"Auckland, Eden Park",New Zealand v Tonga,New Zealand v Tonga,2011-09-08 05:05:24.918379,2011-09-08 05:05:24.918379
2,2011-09-10,13,"Invercargill, Rugby Park Stadium",Scotland v Romania,Scotland v Romania,2011-09-08 05:05:25.008381,2011-09-08 05:05:25.008381
3,2011-09-10,15.3,"Rotorua, Rotorua International Stadium",Fiji v Namibia,Fiji v Namibia,2011-09-08 05:05:25.017872,2011-09-08 05:05:25.017872
4,2011-09-10,18,"Auckland, North Harbour Stadium",France v Japan,France v Japan,2011-09-08 05:05:25.028979,2011-09-08 05:05:25.028979
5,2011-09-10,20.3,"Dunedin, Otago Stadium",Argentina v England,Argentina v England,2011-09-08 05:05:25.042562,2011-09-08 05:05:25.042562
6,2011-09-11,15.3,"Auckland, North Harbour Stadium",Australia v Italy,Australia v Italy,2011-09-08 05:05:25.114764,2011-09-08 05:05:25.114764
7,2011-09-11,18,"New Plymouth, Stadium Taranaki",Ireland v USA,Ireland v USA,2011-09-08 05:05:25.123411,2011-09-08 05:05:25.123411
8,2011-09-11,20.3,"Wellington, Wellington Regional Stadium",South Africa v Wales,South Africa v Wales,2011-09-08 05:05:25.131539,2011-09-08 05:05:25.131539
9,2011-09-14,14.3,"Rotorua, Rotorua International Stadium",Samoa v Namibia,Samoa v Namibia,2011-09-08 05:05:25.138225,2011-09-08 05:05:25.138225
10,2011-09-14,17,"Whangarei, Northland Events Centre",Tonga v Canada,Tonga v Canada,2011-09-08 05:05:25.169202,2011-09-08 05:05:25.169202
11,2011-09-14,19.3,"Invercargill, Rugby Park Stadium",Scotland v Georgia,Scotland v Georgia,2011-09-08 05:05:25.224609,2011-09-08 05:05:25.224609
12,2011-09-15,19.3,"New Plymouth, Stadium Taranaki",Russia v USA,Russia v USA,2011-09-08 05:05:25.232925,2011-09-08 05:05:25.232925
13,2011-09-16,20,"Hamilton, Waikato Stadium",New Zealand v Japan,New Zealand v Japan,2011-09-08 05:05:25.246898,2011-09-08 05:05:25.246898
14,2011-09-17,15.3,"Invercargill, Rugby Park Stadium",Argentina v Romania,Argentina v Romania,2011-09-08 05:05:25.252832,2011-09-08 05:05:25.252832
15,2011-09-17,18,"Wellington, Wellington Regional Stadium",South Africa v Fiji,South Africa v Fiji,2011-09-08 05:05:25.257704,2011-09-08 05:05:25.257704
16,2011-09-17,20.3,"Auckland, Eden Park",Australia v Ireland,Australia v Ireland,2011-09-08 05:05:25.26274,2011-09-08 05:05:25.26274
17,2011-09-18,15.3,"Hamilton, Waikato Stadium",Wales v Samoa,Wales v Samoa,2011-09-08 05:05:25.267368,2011-09-08 05:05:25.267368
18,2011-09-18,18,"Dunedin, Otago Stadium",England v Georgia,England v Georgia,2011-09-08 05:05:25.271769,2011-09-08 05:05:25.271769
19,2011-09-18,20.3,"Napier, McLean Park",France v Canada,France v Canada,2011-09-08 05:05:25.277016,2011-09-08 05:05:25.277016
20,2011-09-20,19.3,"Nelson, Trafalgar Park",Italy v Russia,Italy v Russia,2011-09-08 05:05:25.285161,2011-09-08 05:05:25.285161
21,2011-09-21,19.3,"Whangarei, Northland Events Centre",Tonga v Japan,Tonga v Japan,2011-09-08 05:05:25.292708,2011-09-08 05:05:25.292708
22,2011-09-22,20,"Auckland, North Harbour Stadium",South Africa v Namibia,South Africa v Namibia,2011-09-08 05:05:25.298077,2011-09-08 05:05:25.298077
23,2011-09-23,20.3,"Wellington, Wellington Regional Stadium",Australia v USA,Australia v USA,2011-09-08 05:05:25.302581,2011-09-08 05:05:25.302581
24,2011-09-24,18,"Dunedin, Otago Stadium",England v Romania,England v Romania,2011-09-08 05:05:25.30866,2011-09-08 05:05:25.30866
25,2011-09-24,20.3,"Auckland, Eden Park",New Zealand v France,New Zealand v France,2011-09-08 05:05:25.31324,2011-09-08 05:05:25.31324
26,2011-09-25,15.3,"Auckland, Eden Park",Fiji v Samoa,Fiji v Samoa,2011-09-08 05:05:25.318112,2011-09-08 05:05:25.318112
27,2011-09-25,18,"Rotorua, Rotorua International Stadium",Ireland v Russia,Ireland v Russia,2011-09-08 05:05:25.324076,2011-09-08 05:05:25.324076
28,2011-09-25,20.3,"Wellington, Wellington Regional Stadium",Argentina v Scotland,Argentina v Scotland,2011-09-08 05:05:25.338277,2011-09-08 05:05:25.338277
