id,user_id,match_id,pick,created_at,updated_at
1,5,1,30,2011-09-08 08:55:08.04572,2011-09-08 08:55:08.04572
2,5,2,10,2011-09-08 08:55:08.084443,2011-09-08 08:55:08.084443
3,5,3,20,2011-09-08 08:55:08.093369,2011-09-08 08:55:08.093369
4,5,4,20,2011-09-08 08:55:08.101832,2011-09-08 08:55:08.101832
5,5,5,0,2011-09-08 08:55:08.110769,2011-09-08 08:55:08.110769
6,5,6,0,2011-09-08 08:55:08.130558,2011-09-08 08:55:08.130558
7,5,7,0,2011-09-08 08:55:08.143538,2011-09-08 08:55:08.143538
8,5,8,0,2011-09-08 08:55:08.152898,2011-09-08 08:55:08.152898
9,5,9,0,2011-09-08 08:55:08.162245,2011-09-08 08:55:08.162245
10,5,10,0,2011-09-08 08:55:08.171626,2011-09-08 08:55:08.171626
11,5,11,0,2011-09-08 08:55:08.181283,2011-09-08 08:55:08.181283
12,5,12,0,2011-09-08 08:55:08.190192,2011-09-08 08:55:08.190192
13,6,1,8,2011-09-08 11:34:17.164337,2011-09-08 11:36:00.237691
14,6,2,12,2011-09-08 11:34:17.250078,2011-09-08 11:36:00.248696
15,6,3,-4,2011-09-08 11:34:17.262897,2011-09-08 11:36:00.308098
16,6,4,12,2011-09-08 11:34:17.273553,2011-09-08 11:36:00.321838
17,6,5,-2,2011-09-08 11:34:17.28736,2011-09-08 11:36:00.330595
18,6,6,4,2011-09-08 11:34:17.330324,2011-09-08 11:36:00.378905
19,6,7,16,2011-09-08 11:34:17.395062,2011-09-08 11:36:00.389035
20,6,8,10,2011-09-08 11:34:17.626031,2011-09-08 11:36:00.398949
21,6,9,-10,2011-09-08 11:34:17.636989,2011-09-08 11:36:00.424372
22,6,10,14,2011-09-08 11:34:17.646184,2011-09-08 11:36:00.449941
23,6,11,12,2011-09-08 11:34:17.655361,2011-09-08 11:36:00.557027
24,6,12,8,2011-09-08 11:34:17.698706,2011-09-15 04:09:24.400901
44,8,1,42,2011-09-08 23:17:36.97119,2011-09-08 23:17:36.97119
45,8,2,42,2011-09-08 23:17:37.029588,2011-09-08 23:17:37.029588
46,8,3,55,2011-09-08 23:17:37.045422,2011-09-08 23:17:37.045422
47,8,4,35,2011-09-08 23:17:37.054524,2011-09-08 23:17:37.054524
48,8,5,-12,2011-09-08 23:17:37.064109,2011-09-08 23:17:37.064109
49,8,6,18,2011-09-08 23:17:37.075657,2011-09-08 23:17:37.075657
50,8,7,38,2011-09-08 23:17:37.085782,2011-09-08 23:17:37.085782
51,8,8,13,2011-09-08 23:17:37.094569,2011-09-08 23:17:37.094569
56,9,1,20,2011-09-09 03:38:52.232224,2011-09-09 03:38:52.232224
57,9,2,20,2011-09-09 03:38:52.256949,2011-09-09 03:38:52.256949
